SNO,PART No.,DESCRIPTION,HSN,MRP,QTY,DISC SGST,CGST,Rate,AMOUNT,Selling Price
148,AAG-PUL-003A,PULSAR-135 XCD DISCOVER,,49,3,9,9,49,147,49
149,AAG-XCD-002,PLANNA-125 HALF KIT,,49,5,9,9,49,245,49
150,AAG-K43-004,KB-48 BLUE GOLD,,42,4,9,9,42,168,42
151,AAA-FLM-002,TVS FLAME,,49,4,9,9,49,196,49
152,AAA-YRV-007,HALF KIT YAMAHA RXG-135,,64,4,9,9,64,256,64
153,AAG-WEG-002,TVS JUPITER TVS WEGA,,60,2,9,9,60,120,60
154,AAG-YRZ-007,YAMAHA FZ-16,,93,3,9,9,93,279,93
155,AAG-TWS-002,HONDA TWISTER,,53,2,9,9,53,106,53
156,AAG-DTS-002A,DISCOVER-100CC BLUE,,49,4,9,9,49,196,49
157,AAG-SIN-002,SHINE / ACHINER,,51,2,9,9,51,102,51
158,AAG-PUL-004A,PULSAR 220CC,,49,1,9,9,49,49,49
159,AAG-RAY-002,YAMAHA  RAY,,79,2,9,9,79,158,79
160,AAG-ACT-003A,ACTIVA - 110/ AVIATOR,,44,4,9,9,44,176,44
161,AAG-OTS-002B,DISCOVER 125/135,,49,3,9,9,49,147,49
162,AAA-CRX-002,YAMAHA CRUX,,44,3,9,9,44,132,44
163,04848529W,BATTERY WIRE CLAM,,1.5,150,9,9,1.5,225,1.5
164,2051T,BALL RACER PASSION PLUS,,198,1,9,9,198,198,198
165,3153K,BALLRACER DISCOVER 100CC,,220,1,9,9,220,220,220
166,2146A,SHINE RACER,,280,2,9,9,280,560,280
167,2051K,SHINE RACER,,200,2,9,9,200,400,200
168,HON91,UNICORN RACER,,280,2,9,9,280,560,280
169,2051N,BALLRACER PASSION PRO,,280,2,9,9,280,560,280
170,25141,STAR CITY BALL RACER,,220,2,9,9,220,440,220
171,2146D,SPLENDER SMART BALLRACER,,280,2,9,9,280,560,280
172,3009,RX100 BALL RACER,,198,1,9,9,198,198,198
173,3009A,CRUX BALLRACER,,198,1,9,9,198,198,198
174,5055A,TVS XL,,198,1,9,9,198,198,198
175,2514,AX100 BALL RACER,,198,1,9,9,198,198,198
176,2146,PASSION XPRO (BALL RACER),,280,1,9,9,280,280,280
177,HON142,HONDA CB TWISTER,,280,1,9,9,280,280,280
178,54BF721110,BREAK PEDAL,,140,1,9,9,140,140,140
179,54BE471800,PROTECTOR MUFF ,,210,1,9,9,210,210,210
180,2PYH431000,H.L.ASSAY,,830,1,9,9,830,830,830
181,1PMH392200,LEVER 2,,125,1,9,9,125,125,125
182,21CF15110033,FENDER FROM,,660,1,9,9,660,660,660
183,2PYF61110000,HANDLE BAR YAMAHA,,229,1,9,9,229,229,229
184,54BF31100000,INNER TUBE,,930,2,9,9,930,1860,930
185,54BF74210000,FOOT REST,,262,1,9,9,262,262,262
186,54BF741300,FOOT REST COVER,,50,1,9,9,50,50,50
187,54BXF835200,PANEL ASSY SZ,,225,1,9,9,225,225,225
188,K3100330,OIL SEAL,,57,6,9,9,57,342,57
189,HRS-504,PLEASURE SILENCER,,144,3,9,9,144,432,144
190,HRS-946,PLEASURE SILENCER,,132,3,9,9,132,396,132
191,95121286,ACTIVA 110 RR FO,,77,2,9,9,77,154,77
192,94210101,ACTIVA  REAR FOOT,,64,2,9,9,64,128,64
193,95121287,ACTIVA 110 REAR,,79,2,9,9,79,158,79
194,4557,ACTIVA S.M. DRIVE SET,,30,5,9,9,30,150,30
195,4557A,ACTIVA N/M S.M DRIV,,32,5,9,9,32,160,32
196,SP-5177A,ACTIVA SIL GUARD,,150,2,9,9,150,300,150
197,2944510021,ACTIVA SIL GUA,,140,5,9,9,140,700,140
198,94210102,ACTIVA FOOT REST,,65,2,9,9,65,130,65
199,D 03542,PLEASURE S.M DRIV,,28,10,9,9,28,280,28
200,AAA-PEP-006,PEP GEAR BOX,,15,10,9,9,15,150,15
201,2945714009,SUZUKI S.M DRI,,87,7,9,9,87,609,87
202,1444F,SUPER SPL S.M DRIVE SET,,82,10,9,9,82,820,82
203,HRD 473,S.M DRIVE SET SPL,,20,10,9,9,20,200,20
204,AAA-ACT 009,ACTIVA MAG GA,,12,10,9,9,12,120,12
205,AAA-ACT 015,ACTIVA GEAR BOX,,18,10,9,9,18,180,18
206,AN-ABS/HHR/6,SPL FR/ HUNK,,154,5,9,9,154,770,154
207,AN-ABS/YFZ/61,FZ BRAKE SH,,261,2,9,9,261,522,261
208,AN-ABS/HAS/6,ACTIVA/SUP.SPLENDOR,,168,10,9,9,168,1680,168
209,434922073,PLEASURE FOOT,,538,3,9,9,538,1614,538
210,MP94210105,LADIES FOOTERS,,475,2,9,9,475,950,475
211,SHH0322-ACC,CABLE PLEASURE,,170,5,9,9,170,850,170
212,SHM0320,ACT 110 ACC CABLE,,210,10,9,9,210,2100,210
213,UR4AC-N/R-UR4AC,MICO PLUS,,82,20,9,9,82,1640,82
214,LSM26025166,ACTIVA 102CC ,,678,2,9,9,678,1356,678
215,SW-0519AL,PASSION PRO REAR BRAK,,44,8,9,9,44,352,44
216,2944510067,ACTIVA SHIELD,,5,50,9,9,5,250,5
217,HLL001,HEAD LIGHT LED,,1600,5,9,9,1600,8000,1600
218,SAF002,SOUND AIRFILTER,,450,55,9,9,450,24750,450
219,CHCL003,CHAIN CLEANER,,740,4,9,9,740,2960,740
220,MEG004,M.EDGE-GRAY,,556,1,9,9,556,556,556
221,MME005,M.EDGE-MAT BLUE,,556,1,9,9,556,556,556
222,MABL006,MAESHO - BLUE,,445,3,9,9,445,1335,445
223,MW007,MAESHO - WHITE,,445,1,9,9,445,445,445
224,MB008,MAESHO-BLACK,,445,1,9,9,445,445,445
225,FDMB009,FRONT DOOR M.EDGE MATT BLUE,,667,2,9,9,667,1334,667
226,MS010,F.DOOR M.EDGE MAT SILVER,,778,1,9,9,778,778,778
227,MEWH011,F.DOOR M.EDGE WHITE,,667,1,9,9,667,667,667
228,FMBL012,F.DOOR M.EDGE BLUE,,667,1,9,9,667,667,667
229,CHLC020,CHAIN CLEANER,,1100,10,9,9,1100,11000,1100
230,PO1010,POLISH,,380,4,9,9,380,1520,380
231,FU1501,FUSE 15 AMPS,,4,25,9,9,4,100,4
232,FU1002,FUSE 10 AMPS,,4,25,9,9,4,100,4
233,FU05,FUSE 5 AMPS,,4,25,9,9,4,100,4
234,FU3503,FUSE 35 AMPS,,4,25,9,9,4,100,4
235,FU2504,FUSEE 25 AMPS,,4,25,9,9,4,100,4
236,FU3005,FUSE 30 AMPS,,4,30,9,9,4,120,4
237,HELM006,HELMAT LOCK,,320,4,9,9,320,1280,320
238,HB009,HANDLE BAR,,1170,3,9,9,1170,3510,1170
239,BUB101,BUMBER ,,350,2,9,9,350,700,350
