SNO,PART No.,DESCRIPTION,HSN,MRP,QTY,DISC SGST,CGST,Rate,AMOUNT
129,AAA-AMB-002,HALF AMBIT10W,,49,4,9,9,49,196
130,AAG-WEG-002,HALF KIT TVS WEGO,,60,2,9,9,60,120
131,AAG-OTS-002B,DISCOVER OLD (HALF),,49,3,9,9,49,147
132,AAA-JIV-002,HALF KIT TVS - JIVE,,44,4,9,9,44,176
133,AAG-BCT-002,BAJAJ - PLATINA CT-100 HALF,,44,2,9,9,44,88
134,AAA-LIB-002,YAMAHA LIBERO HALF,,42,4,9,9,42,168
135,AAG-ACT-003,HALF KIT ACTIVA/PLEASURE,,44,4,9,9,44,176
136,AAG-CBR-007,HALF KIT BOXER,,44,4,9,9,44,176
137,AAG-STR-002A,STAR CITY-110 STAR SPOA,,51,4,9,9,51,204
138,AAG-SUZ-006,SUZUKI GOLD,,38,4,9,9,38,152
139,AAA-CEN-002,TVS CENTRA,,46,4,9,9,46,184
140,AAA-XRX-007,YAMAHA RXG HALF,,64,1,9,9,64,64
141,AAA-PNV-002,TVS-PHOENIX HALF,,49,3,9,9,49,147
142,AAG--VTR-002,VICTOR HALF KIT,,46,4,9,9,46,184
143,AAA-PEP-002A,HALF KIT SCOOTY PEP,,46,3,9,9,46,138
144,AAA-XBX-004,XBX/FAZER/GLADIATOR,,44,4,9,9,44,176
145,AAG-HET-003A,ACTIVA 125,,49,3,9,9,49,147
146,AAG-UCN-002,UNICORN - VIREME DAZLAR,,51,4,9,9,51,204
147,AAA-HH-004B,SPLENDER  PLY HALF,,66,2,9,9,66,132
148,AAG-PUL-003A,PULSAR-135 XCD DISCOVER,,49,3,9,9,49,147
149,AAG-XCD-002,PLANNA-125 HALF KIT,,49,5,9,9,49,245
150,AAG-K43-004,KB-48 BLUE GOLD,,42,4,9,9,42,168
151,AAA-FLM-002,TVS FLAME,,49,4,9,9,49,196
152,AAA-YRV-007,HALF KIT YAMAHA RXG-135,,64,4,9,9,64,256
153,AAG-WEG-002,TVS JUPITER TVS WEGA,,60,2,9,9,60,120
154,AAG-YRZ-007,YAMAHA FZ-16,,93,3,9,9,93,279
155,AAG-TWS-002,HONDA TWISTER,,53,2,9,9,53,106
156,AAG-DTS-002A,DISCOVER-100CC BLUE,,49,4,9,9,49,196
157,AAG-SIN-002,SHINE / ACHINER,,51,2,9,9,51,102
158,AAG-PUL-004A,PULSAR 220CC,,49,1,9,9,49,49
159,AAG-RAY-002,YAMAHA  RAY,,79,2,9,9,79,158
160,AAG-ACT-003A,ACTIVA - 110/ AVIATOR,,44,4,9,9,44,176
161,AAG-OTS-002B,DISCOVER 125/135,,49,3,9,9,49,147
162,AAA-CRX-002,YAMAHA CRUX,,44,3,9,9,44,132
163,04848529W,BATTERY WIRE CLAM,,1.5,150,9,9,1.5,225
164,2051T,BALL RACER PASSION PLUS,,198,1,9,9,198,198
165,3153K,BALLRACER DISCOVER 100CC,,220,1,9,9,220,220
166,2146A,SHINE RACER,,280,2,9,9,280,560
167,2051K,SHINE RACER,,200,2,9,9,200,400
168,HON91,UNICORN RACER,,280,2,9,9,280,560
169,2051N,BALLRACER PASSION PRO,,280,2,9,9,280,560
170,25141,STAR CITY BALL RACER,,220,2,9,9,220,440
171,2146D,SPLENDER SMART BALLRACER,,280,2,9,9,280,560
172,3009,RX100 BALL RACER,,198,1,9,9,198,198
173,3009A,CRUX BALLRACER,,198,1,9,9,198,198
174,5055A,TVS XL,,198,1,9,9,198,198
175,2514,AX100 BALL RACER,,198,1,9,9,198,198
176,2146,PASSION XPRO (BALL RACER),,280,1,9,9,280,280
177,HON142,HONDA CB TWISTER,,280,1,9,9,280,280
178,54BF721110,BREAK PEDAL,,140,1,9,9,140,140
179,54BE471800,PROTECTOR MUFF ,,210,1,9,9,210,210
180,2PYH431000,H.L.ASSAY,,830,1,9,9,830,830
181,1PMH392200,LEVER 2,,125,1,9,9,125,125
182,21CF15110033,FENDER FROM,,660,1,9,9,660,660
183,2PYF61110000,HANDLE BAR YAMAHA,,229,1,9,9,229,229
184,54BF31100000,INNER TUBE,,930,2,9,9,930,1860
185,54BF74210000,FOOT REST,,262,1,9,9,262,262
186,54BF741300,FOOT REST COVER,,50,1,9,9,50,50
